faction,title,type,rarity,health,attack,defense,speed,crit_rate,crit_damage,resist,accuracy,skill_1,skill_2,skill_3,skill_4,skill_5
Banner Lords,Axeman,HP,Common,15030,507,694,92,15,50,30,0,"Heavy Chop Level 1
 Attacks 1 enemy. Has a 30% chance of placing a 25% [Decrease
 ACC] debuff for 1 turn. Damage inflicted is proportional to DEF.
 
 Damage based on: [DEF]
 ie Decrease ACC
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%
 Lvl. 5 Damage +10%",,,,
Banner Lords,Bandit,Attack,Common,8595,980,650,98,15,50,30,0,"Flaming Shot Level 1
 Attacks 1 enemy. Has a 75% chance of placing a 30% [Decrease
 DEF] debuff for 1 turn.
 
 Damage based on: [ATK]
 
  
 
 d Decrease DEF
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +5%
 
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Damage +10%
 
 Lvl. 7 Buff/Debuff Chance +10%",,,,
Banner Lords,Pikeman,Defense,Common,11235,595,859,96,15,50,30,0,"Run Through Level 1
 Attacks 1 enemy. Has a 15% chance of placing a [Freeze] debuff for
 1 turn.
 
 Damage based on: [ATK]
 
  
 
 & Freeze
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +5%
 
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Damage +10%
 
 Lvl. 6 Buff/Debuff Chance +10%
 Lvl. 7 Damage +10%
 
 Lvl. 8 Buff/Debuff Chance +15%",,,,
Banner Lords,Swordsman,Attack,Common,8100,958,705,100,15,50,30,0,"Cut Level 1
 Attacks 1 enemy 2 times. Has a 30% chance of placing a 30%
 [Decrease DEF] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 od Decrease DEF
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +10%",,,,
Banner Lords,Azure,HP,Epic,19320,958,1057,87,15,50,45,0,"Lunge Level 1
 Attacks 1 enemy 2 times. Places a [Stun] debuff for 1 turn if the
 target has an [increase SPD] buff.
 
 Damage based on: [ATK]
 
  
 
 © Stun
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%
 Lvl. 6 Damage +10%","Aegis Level 1
 Places a 50% [Ally Protection] buff on all allies except this Champion
 for 2 turns. Places a [Shield] buff on this Champion equal to 40% of
 this Champion's MAX HP for 2 turns. This buff cannot be removed.
 
 KR Ally Protection
 ® Shield
 
 Lvl. 2 Cooldown -1
 Lvl. 3 Cooldown -1","Coup de Grace Level 1
 Attacks 1 enemy. Places an extra hit if the target has a [Stun]
 debuff. The extra hit is always critical.
 
 Damage based on: [ATK] [HP]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Cooldown -1
 Lvl. 5 Damage +10%
 Lvl. 6 Damage +10%
 Lvl. 7 Cooldown -1","Aura
 Increases Ally HP in all Battles by 25%.",
Banner Lords,Hordin,Attack,Epic,16845,1321,859,95,15,60,30,0,"Relentless Strike Level 1
 Attacks 1 enemy 2 times. Grants an Extra Turn if the target is killed.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl, 5 Damage +10%","Bloodletter Level 1
 Attacks 1 enemy. Has a 60% chance of placing a 50% [Decrease
 ATK] debuff for 2 turns. Heals this Champion by 10% of the damage
 inflicted.
 
 Damage based on: [ATK]
 
  
 
 Rm Decrease ATK
 
  
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +10%
 
 Lvl. 5 Buff/Debuff Chance +10%","Burning Hatred Level 1
 Places a 50% [increase ATK] buff, a 30% [Increase C. RATE] buff,
 and a 30% [Increase SPD] buff on this Champion for 2 turns. Grants
 
 an Extra Turn.
 
 - Increase ATK
 
 ‘W increase C. RATE
 J increase SPD
 
  
 
 Lvl. 2 Cooldown -1",,
Banner Lords,Knight-Errant,Attack,Epic,18660,1387,672,96,15,50,30,15,"Half-Sword Level 1
 Attacks 1 enemy. Has a 30% chance of placing a [Leech] debuff for
 2 turns. Will ignore 30% of the target's DEF.
 
 Damage based on: [ATK]
 
  
 
 © Leech
 
 Lvl. 2 Buff/Debuff Chance +5%
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Buff/Debuff Chance +5%","Mordhau Level 1
 Attacks 1 enemy. Has a 60% chance of placing a [Stun] debuff for 1
 turn. Resets the cooldowns on each of this Champion's skills if the
 target is killed.
 
 Damage based on: [ATK]
 
  
 
 © Stun
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +10%","Death Warrant Level 1
 Attacks 1 enemy. Has a 60% chance of placing a 25% [Weaken]
 debuff for 2 turns. Damage is increased by 75% if this Champion
 has full HP.
 
 Damage based on: [ATK]
 
  
 
 x Weaken
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +20%","Aura
 Increases Ally DEF in Dungeons by 32%.",
Banner Lords,Oathbound,Defense,Epic,18330,782,1299,88,15,50,40,0,"Shatter Level 1
 Attacks 1 enemy. Has a 20% chance of placing a [Freeze] debuff for
 1 turn. Damage inflicted is proportional to DEF.
 
 Damage based on: [ATK] [DEF]
 
  
 
 & Freeze
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +15%","Subjugate Level 1
 Attacks 1 enemy 3 times. Has a 60% chance of placing a 50%
 [Decrease ATK] debuff for 2 turns. Each hit has a 30% chance of
 decreasing the Turn Meter by 30%. Damage inflicted is proportional
 to DEF.
 
 Damage based on: [DEF]
 
  
 
 Rm Decrease ATK
 
  
 
 Lvl. 2 Buff/Debuff Chance +5%
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +10%
 
 Lvl. 5 Buff/Debuff Chance +10%","Intimidate Level 1
 Attacks at random 4 times. Each attack has a 30% chance of
 placing a [Block Cooldown Skills] debuff for 2 turns. Damage
 inflicted is proportional to DEF.
 
 Damage based on: [DEF]
 
  
 
 {8 Block Cooldown Skills
 
  
 
 Lvl. 2 Buff/Debuff Chance +5%
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Cooldown -1
 
 | Pa",,
Banner Lords,Rowan,Attack,Epic,16845,1487,694,108,15,60,30,0,"Slash Level 1
 Attacks 1 enemy. Has a 50% chance of placing a 100% [Heal
 Reduction] debuff for 2 turns. Damage increases according to SPD.
 
 Damage based on: [ATK] [SPD]
 
  
 
 Ld Heal Reduction
 
 Lvl. 2 Damage +5%
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Buff/Debuff Chance +5%","Scourge Level 1
 Attacks 3 times at random. Each hit has a 30% chance of placing a
 [Stun] debuff for 1 turn.
 
 Damage based on: [ATK]
 
 © Stun
 
 Lvl. 2 Damage +10%
 Lvl. 3 Damage +10%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +10%
 
 a a), Z","Blade Surge Level 1
 Attacks 1 enemy 4 times. Each hit has a 50% chance of placing a 5%
 [Poison] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 dé Poison
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Cooldown -1
 
 7",,
Banner Lords,Warcaster,Support,Epic,20145,1013,947,106,15,50,30,0,"Tactical Ace Level 1
 Attacks 1 enemy. Has a 25% chance of stealing 1 random buff from
 the target.
 
 Damage based on: [ATK]
 
  
 
  
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +10%
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Buff/Debuff Chance +5%
 
 g","Sealing Strike Level 1
 Attacks all enemies. Has a 50% chance of placing a [Block Buffs}
 debuff for 2 turns.
 
 Damage based on: [ATK]
 %@ Block Buffs
 
  
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +10%
 LvI. 4 Buff/Debuff Chance +15%
 Lvl. 5 Cooldown -1","Invincible Aura Level 1
 Places a [Block Damage] buff on all allies for 1 turn.
 
  
 
 @ > Block Damage
 
  
 
 Lvl. 2 Cooldown -1
 Lvl. 3 Cooldown -1
 
 A ue","Aura
 Increases Void Ally C. RATE in all Battles by 23%.",
